dataset_index,cid,gt_atom_count,pred_atom_count,atom_xy_mae,bond_map_mae,type_map_mae,atom_center_score_r3,typed_center_score_r3,type_top1_local_acc_r3,atom_type_macro_f1_2d,ch_collapse_rate_2d,pred_object_score,pred_object_3d_score,pred_object_count_mae,pred_object_count_score,pred_object_center_score,pred_object_type_acc,pred_object_macro_f1,pred_object_hetero_f1,pred_object_edge_f1,pred_object_edge_f1_robust,pred_object_match_coverage_robust,pred_object_graph_score,pred_object_heavy_rmsd,pred_object_z_mae,figure_path
58,99536993,42,64,0.0950026661157608,0.06126220524311066,0.015978559851646423,0.4875433977161135,0.10790213686997555,0.2619047619047619,0.11794871794871795,0.0,0.34946673976608184,0.4478087677543324,22.0,0.65625,1.0,0.35714285714285715,0.22444444444444445,0.07142857142857144,0.2807017543859649,0.6666666666666666,0.14285714285714285,0.32148271720969085,0.2933002710342407,0.10096326470375061,
59,99541676,47,64,0.10617388784885406,0.07046334445476532,0.01668688841164112,0.46261106019324444,0.2568712210639833,0.44680851063829785,0.2184227330779055,0.0,0.32999594168563634,0.39809104208938956,17.0,0.734375,1.0,0.40425531914893614,0.1254492753623188,0.0,0.21843003412969286,0.8,0.10638297872340426,0.28513411701785624,0.3354235589504242,0.16662850975990295,
60,99541726,48,64,0.10802007466554642,0.06961163133382797,0.017085665836930275,0.4819763172417879,0.15428859657668906,0.22916666666666666,0.07873376623376623,0.0,0.35227406473308115,0.44623102496881956,16.0,0.75,1.0,0.4166666666666667,0.1141025641025641,0.2,0.1639344262295082,0.5,0.16666666666666666,0.30769756200084075,0.29057642817497253,0.12641355395317078,
61,99541759,46,64,0.10525088012218475,0.06907124817371368,0.016408715397119522,0.4663113491690677,0.23041401450225554,0.3695652173913043,0.18803986710963455,0.0,0.3202936137738217,0.3846664774687231,18.0,0.71875,1.0,0.391304347826087,0.11855072463768117,0.0,0.2047244094488189,0.6666666666666666,0.10869565217391304,0.2750511882346229,0.3543548583984375,0.1330641806125641,
62,99545,27,1,0.05603773519396782,0.03162475302815437,0.008190794847905636,0.0013187130292256672,1.2796650115323818e-05,0.25925925925925924,0.10606060606060606,0.0,0.006459808587614041,0.14167461904731615,26.0,0.03703703703703709,0.018085060641169548,0.0,0.0,0.0,0.0,0.0,0.0,0.009259259259259273,0.9360032081604004,0.3146666884422302,
63,9955,15,64,0.05379762500524521,0.03387270122766495,0.009487384930253029,0.9393567005793254,0.42496748064678797,0.3333333333333333,0.21714285714285717,0.0,0.2911724821338792,0.67876225044516,49.0,0.234375,1.0,0.3333333333333333,0.10587301587301587,0.15384615384615385,0.392156862745098,0.5714285714285715,0.3333333333333333,0.24779248590461822,0.05347904562950134,9.866668551694602e-05,
64,99550270,40,64,0.09889154136180878,0.060770776122808456,0.016204986721277237,0.4034258261322975,0.10037064173621042,0.2,0.10568957115009747,0.0,0.33728449820788525,0.4290167309391883,24.0,0.625,1.0,0.35,0.1822222222222222,0.0625,0.3010752688172043,1.0,0.15,0.31057078853046594,0.3275415599346161,0.018014997243881226,
65,99551,22,64,0.05502006411552429,0.039359744638204575,0.011459911242127419,0.924938979473981,0.4157939131228676,0.5,0.4444444444444445,0.6666666666666665,0.309990214295345,0.6048204920202757,42.0,0.34375,1.0,0.4090909090909091,0.14367816091954022,0.0,0.3870967741935484,1.0,0.2727272727272727,0.25015700315164996,0.07945819944143295,0.3476223051548004,
66,99553733,39,64,0.08844541758298874,0.054823875427246094,0.014196792617440224,0.4423404756264809,0.19570982969801493,0.28205128205128205,0.1759853818677348,0.0,0.30882773186708307,0.425603844383649,25.0,0.609375,1.0,0.3333333333333333,0.13725490196078433,0.0,0.2831858407079646,0.888888888888889,0.1282051282051282,0.2789097746399445,0.3062180280685425,0.10796751827001572,
67,99559687,45,64,0.08902257680892944,0.058660924434661865,0.015771085396409035,0.5690827707449595,0.09784895223731856,0.13333333333333333,0.06722689075630252,0.0,0.36072999319280213,0.5001027681082676,19.0,0.703125,1.0,0.37777777777777777,0.17253968253968255,0.15384615384615383,0.26615969581749055,0.6666666666666666,0.15555555555555556,0.33421431081328895,0.2327103167772293,0.17045018076896667,
68,99559688,40,64,0.09690575301647186,0.06232471764087677,0.015312066301703453,0.6544052049517631,0.2861962085362155,0.375,0.16300456300456304,0.0,0.3762362637362637,0.5469411276461004,24.0,0.625,1.0,0.475,0.15625,0.125,0.31868131868131866,0.888888888888889,0.15,0.32403846153846155,0.22296859323978424,0.05821238458156586,
